density,agents,seed,method,success,expansions,cost,runtime
0.0,8,0,cardinal,1,3,39,0.00077
0.0,8,0,cardinal+bp,1,3,39,0.00061
0.0,8,0,linear,1,3,39,0.00105
0.0,8,0,linear+bp,1,3,39,0.00072
0.0,8,1,cardinal,1,4,47,0.00153
0.0,8,1,cardinal+bp,1,4,47,0.00109
0.0,8,1,linear,1,3,47,0.00126
0.0,8,1,linear+bp,1,3,47,0.001
0.0,8,2,cardinal,1,1,43,0.00036
0.0,8,2,cardinal+bp,1,1,43,0.00035
0.0,8,2,linear,1,1,43,0.00035
0.0,8,2,linear+bp,1,1,43,0.00037
0.0,8,3,cardinal,1,3,40,0.0008
0.0,8,3,cardinal+bp,1,3,40,0.00067
0.0,8,3,linear,1,3,40,0.00089
0.0,8,3,linear+bp,1,3,40,0.00068
0.0,8,4,cardinal,1,26,42,0.00672
0.0,8,4,cardinal+bp,1,22,42,0.00847
0.0,8,4,linear,1,27,42,0.00726
0.0,8,4,linear+bp,1,22,42,0.00793
0.0,8,5,cardinal,1,5,39,0.00147
0.0,8,5,cardinal+bp,1,5,39,0.00168
0.0,8,5,linear,1,5,39,0.00159
0.0,8,5,linear+bp,1,5,39,0.00183
0.0,8,6,cardinal,1,3,50,0.00122
0.0,8,6,cardinal+bp,1,4,50,0.00123
0.0,8,6,linear,1,3,50,0.00129
0.0,8,6,linear+bp,1,4,50,0.0013
0.0,8,7,cardinal,1,11,53,0.00487
0.0,8,7,cardinal+bp,1,13,53,0.00657
0.0,8,7,linear,1,10,53,0.00467
0.0,8,7,linear+bp,1,12,53,0.00618
0.0,8,8,cardinal,1,9,45,0.00303
0.0,8,8,cardinal+bp,1,10,45,0.00354
0.0,8,8,linear,1,9,45,0.00335
0.0,8,8,linear+bp,1,10,45,0.00375
0.0,8,9,cardinal,1,4,50,0.00127
0.0,8,9,cardinal+bp,1,4,50,0.00102
0.0,8,9,linear,1,4,50,0.00133
0.0,8,9,linear+bp,1,4,50,0.00111
0.0,8,10,cardinal,1,4,54,0.00226
0.0,8,10,cardinal+bp,1,4,54,0.0013
0.0,8,10,linear,1,3,54,0.00162
0.0,8,10,linear+bp,1,3,54,0.00111
0.0,8,11,cardinal,1,2,35,0.00057
0.0,8,11,cardinal+bp,1,2,35,0.0005
0.0,8,11,linear,1,2,35,0.00064
0.0,8,11,linear+bp,1,2,35,0.00051
0.0,8,12,cardinal,1,3,43,0.00155
0.0,8,12,cardinal+bp,1,3,43,0.00084
0.0,8,12,linear,1,3,43,0.00134
0.0,8,12,linear+bp,1,3,43,0.00093
0.0,8,13,cardinal,1,4,43,0.00122
0.0,8,13,cardinal+bp,1,4,43,0.00101
0.0,8,13,linear,1,4,43,0.00129
0.0,8,13,linear+bp,1,4,43,0.00106
0.0,8,14,cardinal,1,2,42,0.00083
0.0,8,14,cardinal+bp,1,2,42,0.00068
0.0,8,14,linear,1,2,42,0.00091
0.0,8,14,linear+bp,1,2,42,0.00068
0.0,8,15,cardinal,1,1,37,0.0003
0.0,8,15,cardinal+bp,1,1,37,0.00031
0.0,8,15,linear,1,1,37,0.0003
0.0,8,15,linear+bp,1,1,37,0.00029
0.0,8,16,cardinal,1,28,41,0.01395
0.0,8,16,cardinal+bp,1,14,41,0.00985
0.0,8,16,linear,1,11,41,0.00724
0.0,8,16,linear+bp,1,12,41,0.00939
0.0,8,17,cardinal,1,5,37,0.00167
0.0,8,17,cardinal+bp,1,5,37,0.00195
0.0,8,17,linear,1,5,37,0.00188
0.0,8,17,linear+bp,1,5,37,0.00203
0.0,8,18,cardinal,1,2,37,0.00062
0.0,8,18,cardinal+bp,1,2,37,0.00058
0.0,8,18,linear,1,2,37,0.00071
0.0,8,18,linear+bp,1,2,37,0.0006
0.0,8,19,cardinal,1,5,33,0.00128
0.0,8,19,cardinal+bp,1,5,33,0.00092
0.0,8,19,linear,1,5,33,0.00148
0.0,8,19,linear+bp,1,5,33,0.00099
0.0,8,20,cardinal,1,4,38,0.00145
0.0,8,20,cardinal+bp,1,5,38,0.00169
0.0,8,20,linear,1,4,38,0.0015
0.0,8,20,linear+bp,1,5,38,0.00177
0.0,8,21,cardinal,1,9,56,0.00327
0.0,8,21,cardinal+bp,1,12,56,0.00541
0.0,8,21,linear,1,10,56,0.00407
0.0,8,21,linear+bp,1,15,56,0.0077
0.0,8,22,cardinal,1,2,49,0.00076
0.0,8,22,cardinal+bp,1,2,49,0.00065
0.0,8,22,linear,1,2,49,0.0008
0.0,8,22,linear+bp,1,2,49,0.00065
0.0,8,23,cardinal,1,3,49,0.00092
0.0,8,23,cardinal+bp,1,3,49,0.00079
0.0,8,23,linear,1,3,49,0.00101
0.0,8,23,linear+bp,1,3,49,0.00083
0.0,8,24,cardinal,1,6,45,0.00252
0.0,8,24,cardinal+bp,1,7,45,0.00199
0.0,8,24,linear,1,7,45,0.00297
0.0,8,24,linear+bp,1,7,45,0.00205
0.0,8,25,cardinal,1,3,42,0.00079
0.0,8,25,cardinal+bp,1,3,42,0.00065
0.0,8,25,linear,1,3,42,0.00091
0.0,8,25,linear+bp,1,3,42,0.00072
0.0,8,26,cardinal,1,5,35,0.00175
0.0,8,26,cardinal+bp,1,5,35,0.00202
0.0,8,26,linear,1,6,35,0.00231
0.0,8,26,linear+bp,1,7,35,0.00308
0.0,8,27,cardinal,1,4,42,0.0021
0.0,8,27,cardinal+bp,1,6,42,0.00347
0.0,8,27,linear,1,5,42,0.00255
0.0,8,27,linear+bp,1,5,42,0.00227
0.0,8,28,cardinal,1,8,42,0.00226
0.0,8,28,cardinal+bp,1,10,42,0.00271
0.0,8,28,linear,1,8,42,0.0026
0.0,8,28,linear+bp,1,10,42,0.00308
0.0,8,29,cardinal,1,3,49,0.00113
0.0,8,29,cardinal+bp,1,3,49,0.00097
0.0,8,29,linear,1,3,49,0.0015
0.0,8,29,linear+bp,1,3,49,0.001
0.0,8,30,cardinal,1,4,49,0.00151
0.0,8,30,cardinal+bp,1,4,49,0.00117
0.0,8,30,linear,1,5,49,0.00199
0.0,8,30,linear+bp,1,6,49,0.00167
0.0,8,31,cardinal,1,7,51,0.00265
0.0,8,31,cardinal+bp,1,9,51,0.00329
0.0,8,31,linear,1,10,51,0.00371
0.0,8,31,linear+bp,1,14,51,0.00544
0.0,8,32,cardinal,1,3,40,0.00125
0.0,8,32,cardinal+bp,1,3,40,0.00108
0.0,8,32,linear,1,3,40,0.00136
0.0,8,32,linear+bp,1,3,40,0.00111
0.0,8,33,cardinal,1,2,39,0.00056
0.0,8,33,cardinal+bp,1,2,39,0.00047
0.0,8,33,linear,1,2,39,0.00063
0.0,8,33,linear+bp,1,2,39,0.0005
0.0,8,34,cardinal,1,5,46,0.00275
0.0,8,34,cardinal+bp,1,7,46,0.00356
0.0,8,34,linear,1,5,46,0.0026
0.0,8,34,linear+bp,1,7,46,0.00408
0.0,8,35,cardinal,1,5,50,0.00262
0.0,8,35,cardinal+bp,1,6,50,0.00285
0.0,8,35,linear,1,5,50,0.00275
0.0,8,35,linear+bp,1,6,50,0.00316
0.0,8,36,cardinal,1,3,47,0.00113
0.0,8,36,cardinal+bp,1,3,47,0.00108
0.0,8,36,linear,1,3,47,0.00126
0.0,8,36,linear+bp,1,3,47,0.00108
0.0,8,37,cardinal,1,6,45,0.00212
0.0,8,37,cardinal+bp,1,9,45,0.0026
0.0,8,37,linear,1,6,45,0.00239
0.0,8,37,linear+bp,1,8,45,0.00331
