density,agents,seed,method,success,expansions,cost,runtime
0.0,8,0,cardinal,1,121,46,0.04139
0.0,8,0,linear,1,78,46,0.02901
0.0,8,0,mlp,1,59,46,0.02351
0.0,8,1,cardinal,1,6,62,0.00252
0.0,8,1,linear,1,6,62,0.00269
0.0,8,1,mlp,1,5,62,0.00227
0.0,8,2,cardinal,1,4,71,0.00242
0.0,8,2,linear,1,4,71,0.00256
0.0,8,2,mlp,1,4,71,0.00267
0.0,8,3,cardinal,1,6,70,0.00403
0.0,8,3,linear,1,6,70,0.00403
0.0,8,3,mlp,1,6,70,0.0041
0.0,8,4,cardinal,1,4,45,0.00085
0.0,8,4,linear,1,4,45,0.00094
0.0,8,4,mlp,1,5,45,0.00104
0.0,8,5,cardinal,1,13,68,0.00572
0.0,8,5,linear,1,13,68,0.00616
0.0,8,5,mlp,1,15,68,0.00814
0.0,8,6,cardinal,1,4,58,0.00172
0.0,8,6,linear,1,4,58,0.00194
0.0,8,6,mlp,1,4,58,0.00204
0.0,8,7,cardinal,1,5,58,0.00237
0.0,8,7,linear,1,5,58,0.00232
0.0,8,7,mlp,1,6,58,0.00249
0.0,8,8,cardinal,1,2,54,0.00085
0.0,8,8,linear,1,2,54,0.00094
0.0,8,8,mlp,1,2,54,0.00091
0.0,8,9,cardinal,1,1,56,0.00064
0.0,8,9,linear,1,1,56,0.00066
0.0,8,9,mlp,1,1,56,0.00059
0.0,8,10,cardinal,1,20,59,0.00577
0.0,8,10,linear,1,20,59,0.00709
0.0,8,10,mlp,1,31,59,0.01013
0.0,8,11,cardinal,1,4,47,0.00174
0.0,8,11,linear,1,4,47,0.00187
0.0,8,11,mlp,1,5,47,0.00212
0.0,8,12,cardinal,1,1,49,0.00049
0.0,8,12,linear,1,1,49,0.00045
0.0,8,12,mlp,1,1,49,0.00043
0.0,8,13,cardinal,1,4,46,0.00134
0.0,8,13,linear,1,4,46,0.00144
0.0,8,13,mlp,1,4,46,0.00135
0.0,8,14,cardinal,1,8,58,0.00405
0.0,8,14,linear,1,8,58,0.00443
0.0,8,14,mlp,1,8,58,0.00436
0.0,8,15,cardinal,1,3,50,0.0009
0.0,8,15,linear,1,3,50,0.00103
0.0,8,15,mlp,1,3,50,0.00093
0.0,8,16,cardinal,1,4,65,0.00233
0.0,8,16,linear,1,5,65,0.0026
0.0,8,16,mlp,1,5,65,0.00249
