strategy,height,width,density,n_agents,seed,success,cost,expansions,generated,runtime,reason
first,8,8,0.0,4,0,1,20,2,3,0.0003,solved
random,8,8,0.0,4,0,1,20,2,3,0.0003,solved
earliest,8,8,0.0,4,0,1,20,2,3,0.0002,solved
most-conflicts,8,8,0.0,4,0,1,20,2,3,0.0002,solved
cardinal,8,8,0.0,4,0,1,20,2,3,0.0003,solved
learned-linear,8,8,0.0,4,0,1,20,2,3,0.0006,solved
learned-mlp,8,8,0.0,4,0,1,20,2,3,0.0003,solved
first,8,8,0.0,4,1,1,23,2,3,0.0004,solved
random,8,8,0.0,4,1,1,23,2,3,0.0003,solved
earliest,8,8,0.0,4,1,1,23,2,3,0.0003,solved
most-conflicts,8,8,0.0,4,1,1,23,2,3,0.0004,solved
cardinal,8,8,0.0,4,1,1,23,2,3,0.0005,solved
learned-linear,8,8,0.0,4,1,1,23,2,3,0.0006,solved
learned-mlp,8,8,0.0,4,1,1,23,2,3,0.0005,solved
first,8,8,0.0,4,2,1,21,1,1,0.0002,solved
random,8,8,0.0,4,2,1,21,1,1,0.0002,solved
earliest,8,8,0.0,4,2,1,21,1,1,0.0002,solved
most-conflicts,8,8,0.0,4,2,1,21,1,1,0.0002,solved
cardinal,8,8,0.0,4,2,1,21,1,1,0.0002,solved
learned-linear,8,8,0.0,4,2,1,21,1,1,0.0002,solved
learned-mlp,8,8,0.0,4,2,1,21,1,1,0.0002,solved
first,8,8,0.0,4,3,1,20,1,1,0.0002,solved
random,8,8,0.0,4,3,1,20,1,1,0.0002,solved
earliest,8,8,0.0,4,3,1,20,1,1,0.0002,solved
most-conflicts,8,8,0.0,4,3,1,20,1,1,0.0002,solved
cardinal,8,8,0.0,4,3,1,20,1,1,0.0001,solved
learned-linear,8,8,0.0,4,3,1,20,1,1,0.0002,solved
learned-mlp,8,8,0.0,4,3,1,20,1,1,0.0001,solved
first,8,8,0.0,4,4,1,19,1,1,0.0002,solved
random,8,8,0.0,4,4,1,19,1,1,0.0002,solved
earliest,8,8,0.0,4,4,1,19,1,1,0.0002,solved
most-conflicts,8,8,0.0,4,4,1,19,1,1,0.0002,solved
cardinal,8,8,0.0,4,4,1,19,1,1,0.0002,solved
learned-linear,8,8,0.0,4,4,1,19,1,1,0.0002,solved
learned-mlp,8,8,0.0,4,4,1,19,1,1,0.0002,solved
first,8,8,0.0,4,5,1,20,1,1,0.0002,solved
random,8,8,0.0,4,5,1,20,1,1,0.0001,solved
earliest,8,8,0.0,4,5,1,20,1,1,0.0001,solved
most-conflicts,8,8,0.0,4,5,1,20,1,1,0.0001,solved
cardinal,8,8,0.0,4,5,1,20,1,1,0.0001,solved
learned-linear,8,8,0.0,4,5,1,20,1,1,0.0001,solved
learned-mlp,8,8,0.0,4,5,1,20,1,1,0.0001,solved
first,8,8,0.0,4,6,1,26,1,1,0.0003,solved
random,8,8,0.0,4,6,1,26,1,1,0.0002,solved
earliest,8,8,0.0,4,6,1,26,1,1,0.0003,solved
most-conflicts,8,8,0.0,4,6,1,26,1,1,0.0002,solved
cardinal,8,8,0.0,4,6,1,26,1,1,0.0002,solved
learned-linear,8,8,0.0,4,6,1,26,1,1,0.0002,solved
learned-mlp,8,8,0.0,4,6,1,26,1,1,0.0002,solved
first,8,8,0.0,4,7,1,24,6,11,0.0013,solved
random,8,8,0.0,4,7,1,24,6,11,0.0012,solved
earliest,8,8,0.0,4,7,1,24,6,11,0.0012,solved
most-conflicts,8,8,0.0,4,7,1,24,6,11,0.0015,solved
cardinal,8,8,0.0,4,7,1,24,6,11,0.002,solved
learned-linear,8,8,0.0,4,7,1,24,6,11,0.002,solved
learned-mlp,8,8,0.0,4,7,1,24,6,11,0.0018,solved
first,8,8,0.0,4,8,1,18,1,1,0.0002,solved
random,8,8,0.0,4,8,1,18,1,1,0.0001,solved
earliest,8,8,0.0,4,8,1,18,1,1,0.0001,solved
most-conflicts,8,8,0.0,4,8,1,18,1,1,0.0001,solved
cardinal,8,8,0.0,4,8,1,18,1,1,0.0001,solved
learned-linear,8,8,0.0,4,8,1,18,1,1,0.0001,solved
learned-mlp,8,8,0.0,4,8,1,18,1,1,0.0001,solved
first,8,8,0.0,4,9,1,20,2,3,0.0002,solved
random,8,8,0.0,4,9,1,20,2,3,0.0002,solved
earliest,8,8,0.0,4,9,1,20,2,3,0.0002,solved
most-conflicts,8,8,0.0,4,9,1,20,2,3,0.0002,solved
cardinal,8,8,0.0,4,9,1,20,2,3,0.0003,solved
learned-linear,8,8,0.0,4,9,1,20,2,3,0.0004,solved
learned-mlp,8,8,0.0,4,9,1,20,2,3,0.0003,solved
first,8,8,0.0,4,10,1,30,1,1,0.0003,solved
random,8,8,0.0,4,10,1,30,1,1,0.0003,solved
earliest,8,8,0.0,4,10,1,30,1,1,0.0003,solved
most-conflicts,8,8,0.0,4,10,1,30,1,1,0.0003,solved
cardinal,8,8,0.0,4,10,1,30,1,1,0.0003,solved
learned-linear,8,8,0.0,4,10,1,30,1,1,0.0003,solved
learned-mlp,8,8,0.0,4,10,1,30,1,1,0.0003,solved
first,8,8,0.0,4,11,1,21,1,1,0.0002,solved
random,8,8,0.0,4,11,1,21,1,1,0.0002,solved
earliest,8,8,0.0,4,11,1,21,1,1,0.0002,solved
most-conflicts,8,8,0.0,4,11,1,21,1,1,0.0002,solved
cardinal,8,8,0.0,4,11,1,21,1,1,0.0002,solved
learned-linear,8,8,0.0,4,11,1,21,1,1,0.0002,solved
learned-mlp,8,8,0.0,4,11,1,21,1,1,0.0002,solved
first,8,8,0.0,4,12,1,21,1,1,0.0002,solved
random,8,8,0.0,4,12,1,21,1,1,0.0002,solved
earliest,8,8,0.0,4,12,1,21,1,1,0.0002,solved
most-conflicts,8,8,0.0,4,12,1,21,1,1,0.0002,solved
cardinal,8,8,0.0,4,12,1,21,1,1,0.0002,solved
learned-linear,8,8,0.0,4,12,1,21,1,1,0.0002,solved
learned-mlp,8,8,0.0,4,12,1,21,1,1,0.0002,solved
first,8,8,0.0,4,13,1,14,1,1,0.0001,solved
random,8,8,0.0,4,13,1,14,1,1,0.0001,solved
earliest,8,8,0.0,4,13,1,14,1,1,0.0001,solved
most-conflicts,8,8,0.0,4,13,1,14,1,1,0.0001,solved
cardinal,8,8,0.0,4,13,1,14,1,1,0.0001,solved
learned-linear,8,8,0.0,4,13,1,14,1,1,0.0001,solved
learned-mlp,8,8,0.0,4,13,1,14,1,1,0.0001,solved
first,8,8,0.0,4,14,1,21,1,1,0.0002,solved
random,8,8,0.0,4,14,1,21,1,1,0.0002,solved
earliest,8,8,0.0,4,14,1,21,1,1,0.0002,solved
most-conflicts,8,8,0.0,4,14,1,21,1,1,0.0002,solved
cardinal,8,8,0.0,4,14,1,21,1,1,0.0002,solved
learned-linear,8,8,0.0,4,14,1,21,1,1,0.0002,solved
learned-mlp,8,8,0.0,4,14,1,21,1,1,0.0002,solved
first,8,8,0.0,4,15,1,20,1,1,0.0002,solved
random,8,8,0.0,4,15,1,20,1,1,0.0002,solved
earliest,8,8,0.0,4,15,1,20,1,1,0.0002,solved
most-conflicts,8,8,0.0,4,15,1,20,1,1,0.0002,solved
cardinal,8,8,0.0,4,15,1,20,1,1,0.0002,solved
learned-linear,8,8,0.0,4,15,1,20,1,1,0.0002,solved
learned-mlp,8,8,0.0,4,15,1,20,1,1,0.0002,solved
first,8,8,0.0,4,16,1,19,2,3,0.0002,solved
random,8,8,0.0,4,16,1,19,2,3,0.0002,solved
earliest,8,8,0.0,4,16,1,19,2,3,0.0002,solved
most-conflicts,8,8,0.0,4,16,1,19,2,3,0.0002,solved
cardinal,8,8,0.0,4,16,1,19,2,3,0.0002,solved
learned-linear,8,8,0.0,4,16,1,19,2,3,0.0003,solved
learned-mlp,8,8,0.0,4,16,1,19,2,3,0.0003,solved
first,8,8,0.0,4,17,1,14,2,3,0.0002,solved
random,8,8,0.0,4,17,1,14,2,3,0.0002,solved
earliest,8,8,0.0,4,17,1,14,2,3,0.0002,solved
most-conflicts,8,8,0.0,4,17,1,14,2,3,0.0002,solved
cardinal,8,8,0.0,4,17,1,14,2,3,0.0002,solved
learned-linear,8,8,0.0,4,17,1,14,2,3,0.0002,solved
learned-mlp,8,8,0.0,4,17,1,14,2,3,0.0002,solved
first,8,8,0.0,4,18,1,10,1,1,0.0001,solved
random,8,8,0.0,4,18,1,10,1,1,0.0001,solved
earliest,8,8,0.0,4,18,1,10,1,1,0.0001,solved
most-conflicts,8,8,0.0,4,18,1,10,1,1,0.0001,solved
cardinal,8,8,0.0,4,18,1,10,1,1,0.0001,solved
learned-linear,8,8,0.0,4,18,1,10,1,1,0.0001,solved
learned-mlp,8,8,0.0,4,18,1,10,1,1,0.0001,solved
first,8,8,0.0,4,19,1,12,1,1,0.0001,solved
random,8,8,0.0,4,19,1,12,1,1,0.0001,solved
earliest,8,8,0.0,4,19,1,12,1,1,0.0001,solved
most-conflicts,8,8,0.0,4,19,1,12,1,1,0.0001,solved
cardinal,8,8,0.0,4,19,1,12,1,1,0.0001,solved
learned-linear,8,8,0.0,4,19,1,12,1,1,0.0001,solved
learned-mlp,8,8,0.0,4,19,1,12,1,1,0.0001,solved
